StudentID	Name	AttendanceRate	StudyHoursPerWeek	PreviousGrade	AssignmentScore	FinalGrade	Performance	InternalMarks	AttendancePercent	StudyConsistency	ParticipationScore
1	Student_1	89.75	7.55	69.44	60.86	66.97	Average	69.46	89.75	27.07	64.06
2	Student_2	95.2	18.13	84.15	85.3	83.72	Good	82.25	95.2	73.24	87.94
3	Student_3	98.59	22.12	98.95	78.11	93.27	Good	94.74	98.59	94.52	93.62
4	Student_4	88.46	5.99	51.6	72.05	64.3	Average	60.59	88.46	12.73	65.76
5	Student_5	86.05	5.54	69.09	59.64	54.08	Average	53.83	86.05	30.07	58.06
6	Student_6	83.29	21.85	89.96	88.08	83.97	Good	86.42	83.29	85.37	79.1
7	Student_7	86.93	8.32	69.6	65.1	59.39	Average	60.14	86.93	35.84	68.53
8	Student_8	76.57	7.32	67.94	66.56	55.78	Average	57.68	76.57	32.37	44.72
9	Student_9	97.99	14.53	86.31	97.66	90.61	Good	85.97	97.99	61.8	83.34
10	Student_10	52.92	7.58	48.2	43.37	32.77	Fail	29.82	52.92	30.63	41.82
11	Student_11	95.88	18.54	86	97.35	94.71	Good	91.84	95.88	75.64	98.84
12	Student_12	53.79	3.18	37.21	53.6	30.67	Fail	29.29	53.79	14.17	48.45
13	Student_13	79.25	12.39	71.04	62.87	70.45	Average	77.24	79.25	46.41	70.93
14	Student_14	82.21	22.39	73.82	84.93	94.93	Good	93.16	82.21	80.77	100
15	Student_15	83	11.9	91.67	93	91.03	Good	85.31	83	41.5	78.03
16	Student_16	93.88	17.23	77.55	83.64	79.54	Good	82.25	93.88	68.4	69.65
17	Student_17	72.71	5.08	41.62	46.55	48.85	Fail	55.58	72.71	16.39	55.12
18	Student_18	83.07	17.97	85.18	90.29	75.45	Good	69.14	83.07	67.96	63.27
19	Student_19	97.44	23.85	86.95	92.42	98.06	Good	100	97.44	100	96.68
20	Student_20	67.68	2.07	46.71	50.17	38.44	Fail	40.52	67.68	12.57	46.61
21	Student_21	83.41	14.28	72.21	65.37	52.82	Average	57.99	83.41	55.86	56.33
22	Student_22	74.62	6.87	33.62	58.02	47.31	Fail	54.65	74.62	30.84	47.39
23	Student_23	77.97	10.5	59.58	56.26	58.35	Average	63.21	77.97	39.9	55.21
24	Student_24	85.07	4.05	58	64.16	63.38	Average	62.83	85.07	16.75	64.8
25	Student_25	73	3.42	40.06	53.44	39	Fail	45.09	73	15.89	43.04
26	Student_26	55.62	4.17	34.08	39.41	39.92	Fail	41.19	55.62	14.59	35.29
27	Student_27	60.47	7.4	40.51	49.51	42.58	Fail	48.03	60.47	26.17	45.18
28	Student_28	80.26	19.28	75.34	99.03	78.72	Good	84.72	80.26	83.24	86.27
29	Student_29	88.29	9.45	99.91	87.55	89.88	Good	84.43	88.29	40.87	88.32
30	Student_30	81.34	20.75	76.3	97.45	80.13	Good	84.1	81.34	71.73	80.61
31	Student_31	69.77	4.4	61.33	67.99	51.64	Average	50.73	69.77	14.26	55.03
32	Student_32	69.39	4.17	45.21	46.02	37.98	Fail	38.67	69.39	12.77	41.84
33	Student_33	78.99	5.71	54.37	74.82	73.56	Average	74.2	78.99	19.73	79.71
34	Student_34	74.33	6.98	65.46	64.4	50.63	Average	51.06	74.33	32.23	43.53
35	Student_35	68.9	11.88	65.81	55.62	55.53	Average	63.15	68.9	47.62	51.83
36	Student_36	55.78	5.7	30.57	37.6	45.92	Fail	39.09	55.78	15.85	42.48
37	Student_37	83.57	19.1	77.15	77.49	81.08	Good	72.47	83.57	74.48	74.75
38	Student_38	83.06	13.41	69.93	64.14	66.64	Average	56.97	83.06	56.35	54.05
39	Student_39	84.1	12.98	96.89	75.33	77.14	Good	82.49	84.1	50.82	54.36
40	Student_40	55.2	1.19	35.26	49.58	38.39	Fail	34.52	55.2	1.54	46.76
41	Student_41	72.32	6.72	39.91	41.49	37.56	Fail	38.22	72.32	28.54	26.68
42	Student_42	64.76	2.88	48.1	45.24	40.99	Fail	40.42	64.76	19.61	51.96
43	Student_43	60.9	3.06	57.51	54.09	32.79	Fail	28.36	60.9	14.55	37.97
44	Student_44	97.37	16.29	96.84	95	85.63	Good	89.89	97.37	71.66	82.79
45	Student_45	50.56	2.88	45.71	50.84	35.13	Fail	34.49	50.56	8.63	39.44
46	Student_46	53.48	6.84	58.55	48.14	33.42	Fail	32.23	53.48	27.32	36.4
47	Student_47	85.45	8.31	97.43	77.94	89.41	Good	90.57	85.45	33.1	81.7
48	Student_48	71.85	10.1	65.63	74.08	55.14	Average	58.74	71.85	40.99	55.04
